,Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50
373,1996-06-19,TATAMOTORS,532,534,524.5,526.75,537.5,89200,47243922.5,529.64,,-2,506.285,489.01
374,1996-06-20,TATAMOTORS,524,529,512.05,527.45,526.75,100550,52427502.5,521.41,,0.1328903654,508.6325,490.666
375,1996-06-21,TATAMOTORS,523,527,519.75,520.6,527.45,38550,20130660,522.2,,-1.298701299,510.425,491.92
376,1996-06-24,TATAMOTORS,521.5,521.5,515.3,518.4,520.6,46300,23958177.5,517.46,,-0.42258932,512.3075,492.981
377,1996-06-25,TATAMOTORS,520.9,520.9,509.25,511.65,518.4,71050,36545162.5,514.36,,-1.302083333,514.085,493.493
378,1996-06-26,TATAMOTORS,510,514.5,505,508.5,511.65,44700,22809875,510.29,,-0.6156552331,515.05,493.985
379,1996-06-27,TATAMOTORS,505,514,505,513.2,508.5,38850,19828057.5,510.37,,0.924287119,516.5075,494.567
380,1996-06-28,TATAMOTORS,513,522.75,511,515.1,513.2,62850,32532165,517.62,,0.3702260327,518.0225,495.25
381,1996-07-01,TATAMOTORS,513.25,517,508.5,510.8,515.1,37650,19304262.5,512.73,,-0.8347893613,519.0575,495.791
382,1996-07-02,TATAMOTORS,511,522,508.5,519.5,510.8,91350,47184632.5,516.53,,1.70321065,520.3875,496.179
383,1996-07-03,TATAMOTORS,505,515.95,501,512.7,519.5,153800,78561495,510.8,,-1.308950914,521.2025,496.892
384,1996-07-04,TATAMOTORS,510.5,528,508.5,521.75,512.7,190900,99001352.5,518.6,,1.765164814,521.895,497.728
385,1996-07-05,TATAMOTORS,526,532.5,522.3,525.85,521.75,165500,87219407.5,527.01,,0.7858169621,522.3475,498.828
386,1996-07-08,TATAMOTORS,535,535,526,531.15,0,59200,31446832.5,531.2,,inf,522.5425,499.89
387,1996-07-09,TATAMOTORS,530,537,528.25,533.3,531.15,131550,69997397.5,532.1,,0.4047820766,522.6975,500.995
388,1996-07-10,TATAMOTORS,529,533,522.5,529.5,533.3,44000,23277642.5,529.04,,-0.712544534,523.1525,501.764
389,1996-07-11,TATAMOTORS,531.1,534.45,530.3,532.1,529.5,29600,15769960,532.77,,0.4910292729,523.1525,502.665
390,1996-07-12,TATAMOTORS,532.1,536.4,531.5,533.4,532.1,37650,20108577.5,534.09,,0.2443149784,522.97,503.765
391,1996-07-15,TATAMOTORS,529.15,533.6,529.1,532.1,533.4,21300,11315922.5,531.26,,-0.2437195351,523.065,504.994
392,1996-07-16,TATAMOTORS,532.5,533.55,525.15,528,532.1,39250,20766270,529.08,,-0.7705318549,522.59,506.119
